月份,产业链,原料类别,上游原料YoY,出厂PPIYOY,价格剪刀差
2025年03月份,机器人产业链,矿产品,0.19047619,-2.5,2.69047619
2025年02月份,机器人产业链,矿产品,-3.35820896,-2.2,-1.1582089599999996
2025年01月份,机器人产业链,矿产品,-9.46798918,-2.3,-7.16798918
2024年12月份,机器人产业链,矿产品,-8.55855856,-2.3,-6.25855856
2024年11月份,机器人产业链,矿产品,-6.99364214,-2.5,-4.49364214
2024年10月份,机器人产业链,矿产品,-2.60223048,-2.9,0.2977695200000001
2024年09月份,机器人产业链,矿产品,-3.63466915,-2.8,-0.8346691500000003
2024年08月份,机器人产业链,矿产品,-1.58434296,-1.8,0.21565703999999997
2024年07月份,机器人产业链,矿产品,3.05927342,-0.8,3.85927342
2024年06月份,机器人产业链,矿产品,8.70870871,-0.8,9.50870871
2024年05月份,机器人产业链,矿产品,9.47580645,-1.4,10.87580645
2024年04月份,机器人产业链,矿产品,5.29470529,-2.5,7.79470529
2024年03月份,机器人产业链,矿产品,3.24483776,-2.8,6.04483776
2024年02月份,机器人产业链,矿产品,4.6875,-2.7,7.3875
2024年01月份,机器人产业链,矿产品,8.83218842,-2.5,11.33218842
2023年12月份,机器人产业链,矿产品,8.1871345,-2.7,10.887134500000002
2023年11月份,机器人产业链,矿产品,9.3346574,-3.0,12.3346574
2023年10月份,机器人产业链,矿产品,9.68399592,-2.6,12.283995919999999
2023年09月份,机器人产业链,矿产品,12.00417537,-2.5,14.50417537
2023年08月份,机器人产业链,矿产品,15.625,-3.0,18.625
2023年07月份,机器人产业链,矿产品,12.23175966,-4.4,16.63175966
2023年06月份,机器人产业链,矿产品,1.83486239,-5.4,7.23486239
2023年05月份,机器人产业链,矿产品,-1.68483647,-4.6,2.9151635299999996
2023年04月份,机器人产业链,矿产品,-4.75737393,-3.6,-1.1573739299999999
2023年03月份,机器人产业链,矿产品,-2.21153846,-2.5,0.2884615400000001
2023年02月份,机器人产业链,矿产品,-0.7751938,-1.4,0.6248061999999999
2023年01月份,机器人产业链,矿产品,-1.45067698,-0.8,-0.6506769799999998
2022年12月份,机器人产业链,矿产品,-1.53550864,-0.7,-0.83550864
2022年11月份,机器人产业链,矿产品,-6.58627087,-1.3,-5.28627087
2022年10月份,机器人产业链,矿产品,-11.93895871,-1.3,-10.638958709999999
2022年09月份,机器人产业链,矿产品,-16.25874126,0.9,-17.15874126
2022年08月份,机器人产业链,矿产品,-20.20636285,2.3,-22.506362850000002
2022年07月份,机器人产业链,矿产品,-22.97520661,4.2,-27.17520661
2022年06月份,机器人产业链,矿产品,-19.25925926,6.1,-25.35925926
2022年05月份,机器人产业链,矿产品,-16.61157025,6.4,-23.01157025
2022年04月份,机器人产业链,矿产品,-10.4770017,8.0,-18.477001700000002
2022年03月份,机器人产业链,矿产品,-9.72222222,8.3,-18.022222220000003
2022年02月份,机器人产业链,矿产品,-9.39420544,8.8,-18.19420544
2022年01月份,机器人产业链,矿产品,-6.59439928,9.1,-15.694399279999999
2021年12月份,机器人产业链,矿产品,-4.13983441,10.3,-14.43983441
2021年11月份,机器人产业链,矿产品,1.31578947,12.9,-11.58421053
2021年10月份,机器人产业链,矿产品,5.79297246,13.5,-7.70702754
2021年09月份,机器人产业链,矿产品,10.31822565,10.7,-0.3817743499999988
2021年08月份,机器人产业链,矿产品,12.36714976,9.5,2.86714976
2021年07月份,机器人产业链,矿产品,18.86051081,9.0,9.860510810000001
2021年06月份,机器人产业链,矿产品,19.11764706,8.8,10.317647059999999
2021年05月份,机器人产业链,矿产品,18.97738446,9.0,9.97738446
2021年04月份,机器人产业链,矿产品,14.76050831,6.8,7.960508310000001
2021年03月份,机器人产业链,矿产品,10.66282421,4.4,6.26282421
2021年02月份,机器人产业链,矿产品,8.47619048,1.7,6.7761904799999995
2021年01月份,机器人产业链,矿产品,3.55472404,0.3,3.25472404
2020年12月份,机器人产业链,矿产品,1.68381665,-0.4,2.08381665
2020年11月份,机器人产业链,矿产品,0.56710775,-1.5,2.06710775
2020年10月份,机器人产业链,矿产品,-1.95530726,-2.1,0.14469274
2020年09月份,机器人产业链,矿产品,-4.6875,-2.1,-2.5875
2020年08月份,机器人产业链,矿产品,-7.7540107,-2.0,-5.7540107
2020年07月份,机器人产业链,矿产品,-11.2467306,-2.4,-8.846730599999999
2020年06月份,机器人产业链,矿产品,-9.09090909,-3.0,-6.09090909
2020年05月份,机器人产业链,矿产品,-7.88043478,-3.7,-4.18043478
2020年04月份,机器人产业链,矿产品,-6.23281393,-3.1,-3.1328139299999997
2020年03月份,机器人产业链,矿产品,-2.43673852,-1.5,-0.93673852
2020年02月份,机器人产业链,矿产品,-0.56818182,-0.4,-0.16818181999999993
2020年01月份,机器人产业链,矿产品,2.10124164,0.1,2.00124164
2019年12月份,机器人产业链,矿产品,1.42314991,-0.5,1.92314991
2019年11月份,机器人产业链,矿产品,-1.39794967,-1.4,0.002050329999999878
2019年10月份,机器人产业链,矿产品,0.93984962,-1.6,2.53984962
2019年09月份,机器人产业链,矿产品,3.12796209,-1.2,4.32796209
2019年08月份,机器人产业链,矿产品,8.4057971,-0.8,9.2057971
2019年07月份,机器人产业链,矿产品,10.28846154,-0.3,10.58846154
2019年06月份,机器人产业链,矿产品,6.95900858,0.0,6.95900858
2019年05月份,机器人产业链,矿产品,5.95009597,0.6,5.35009597
2019年04月份,机器人产业链,矿产品,6.64711632,0.9,5.74711632
2019年03月份,机器人产业链,矿产品,5.01968504,0.4,4.619685039999999
2019年02月份,机器人产业链,矿产品,1.63618864,0.1,1.53618864
2019年01月份,机器人产业链,矿产品,-0.85227273,0.1,-0.95227273
2018年12月份,机器人产业链,矿产品,-0.18939394,0.9,-1.0893939400000001
2018年11月份,机器人产业链,矿产品,-0.27881041,2.7,-2.9788104100000004
2018年10月份,机器人产业链,矿产品,-4.31654676,3.3,-7.616546759999999
2018年09月份,机器人产业链,矿产品,-5.63506261,3.6,-9.23506261
2018年08月份,机器人产业链,矿产品,-7.42397138,4.1,-11.523971379999999
2018年07月份,机器人产业链,矿产品,-4.84903934,4.6,-9.449039339999999
2018年06月份,机器人产业链,矿产品,-4.80943739,4.7,-9.50943739
2018年05月份,机器人产业链,矿产品,-5.4446461,4.1,-9.5446461
2018年04月份,机器人产业链,矿产品,-8.82352941,3.4,-12.223529410000001
2018年03月份,机器人产业链,矿产品,-12.26252159,3.1,-15.36252159
2018年02月份,机器人产业链,矿产品,-11.27241674,3.7,-14.97241674
2018年01月份,机器人产业链,矿产品,-8.33333333,4.3,-12.63333333
2017年12月份,机器人产业链,矿产品,-5.96616207,4.9,-10.866162070000001
2017年11月份,机器人产业链,矿产品,0.27958993,5.8,-5.52041007
2017年10月份,机器人产业链,矿产品,8.80626223,6.9,1.9062622299999994
2017年09月份,机器人产业链,矿产品,10.14778325,6.9,3.2477832499999995
2017年08月份,机器人产业链,矿产品,12.00160289,6.3,5.701602889999999
2017年07月份,机器人产业链,矿产品,12.12556422,5.5,6.625564219999999
2017年06月份,机器人产业链,矿产品,16.36747624,5.5,10.867476239999998
2017年05月份,机器人产业链,矿产品,16.0,5.5,10.5
2017年04月份,机器人产业链,矿产品,17.48691099,6.4,11.086910989999998
2017年03月份,机器人产业链,矿产品,23.98286938,7.6,16.382869380000002
2017年02月份,机器人产业链,矿产品,30.54626533,7.8,22.74626533
2017年01月份,机器人产业链,矿产品,30.6122449,6.9,23.7122449
2016年12月份,机器人产业链,矿产品,28.19634703,5.5,22.69634703
2016年11月份,机器人产业链,矿产品,21.79341657,3.3,18.49341657
2016年10月份,机器人产业链,矿产品,15.09009009,1.2,13.890090090000001
2016年09月份,机器人产业链,矿产品,15.07936508,0.1,14.97936508
2016年08月份,机器人产业链,矿产品,14.21052632,-0.8,15.01052632
2016年07月份,机器人产业链,矿产品,11.27853881,-1.7,12.97853881
2016年06月份,机器人产业链,矿产品,6.64414414,-2.6,9.24414414
2016年05月份,机器人产业链,矿产品,7.46606335,-2.8,10.26606335
2016年04月份,机器人产业链,矿产品,9.39289805,-3.4,12.79289805
2016年03月份,机器人产业链,矿产品,6.74285714,-4.3,11.042857139999999
2016年02月份,机器人产业链,矿产品,2.63157895,-4.9,7.53157895
2016年01月份,机器人产业链,矿产品,-0.33898305,-5.3,4.961016949999999
2015年12月份,机器人产业链,矿产品,-2.99003322,-5.9,2.9099667800000004
2015年11月份,机器人产业链,矿产品,-3.08030803,-5.9,2.8196919700000005
2015年10月份,机器人产业链,矿产品,-3.05676856,-5.9,2.8432314400000003
2015年09月份,机器人产业链,矿产品,-4.51445274,-5.945,1.43054726
2015年08月份,机器人产业链,矿产品,-8.0,-5.9227,-2.0773
2015年07月份,机器人产业链,矿产品,-9.96916752,-5.3692,-4.599967519999999
2015年06月份,机器人产业链,矿产品,-7.97927461,-4.8135,-3.1657746099999997
2015年05月份,机器人产业链,矿产品,-8.01248699,-4.607,-3.405486989999999
2015年04月份,机器人产业链,矿产品,-8.49056604,-4.5725,-3.9180660399999994
2015年03月份,机器人产业链,矿产品,-7.49550692,-4.5603,-2.9352069200000006
2015年02月份,机器人产业链,矿产品,-8.76826722,-4.7976,-3.97066722
2015年01月份,机器人产业链,矿产品,-8.85684861,-4.3202,-4.53664861
2014年12月份,机器人产业链,矿产品,-7.85714286,-3.3152,-4.54194286
2014年11月份,机器人产业链,矿产品,-7.90273556,-2.6928,-5.20993556
2014年10月份,机器人产业链,矿产品,-7.56811302,-2.2428,-5.32531302
2014年09月份,机器人产业链,矿产品,-7.35205617,-1.7996,-5.55245617
2014年08月份,机器人产业链,矿产品,-3.02164149,-1.2038,-1.81784149
2014年07月份,机器人产业链,矿产品,1.70377339,-0.8688,2.57257339
2014年06月份,机器人产业链,矿产品,0.73068894,-1.1086,1.8392889399999999
2014年05月份,机器人产业链,矿产品,-0.41450777,-1.4464,1.03189223
2014年04月份,机器人产业链,矿产品,-1.0373444,-2.0042,0.9668555999999999
2014年03月份,机器人产业链,矿产品,-3.43032159,-2.3022,-1.1281215900000001
2014年02月份,机器人产业链,矿产品,-2.34454638,-2.0182,-0.32634637999999994
2014年01月份,机器人产业链,矿产品,-0.71574642,-1.6394,0.92365358
2013年12月份,机器人产业链,矿产品,1.23966942,-1.3557,2.59536942
2013年11月份,机器人产业链,矿产品,3.81823919,-1.4242,5.24243919
2013年10月份,机器人产业链,矿产品,6.55913978,-1.5071,8.06623978
2013年09月份,机器人产业链,矿产品,10.28761062,-1.3439,11.63151062
2013年08月份,机器人产业链,矿产品,6.5030344,-1.625,8.1280344
2013年07月份,机器人产业链,矿产品,1.45281018,-2.2712,3.7240101799999996
2013年06月份,机器人产业链,矿产品,0.6302521,-2.6965,3.3267520999999998
2013年05月份,机器人产业链,矿产品,-0.61791967,-2.8658,2.24788033
2013年04月份,机器人产业链,矿产品,-1.43149284,-2.6175,1.1860071600000002
2013年03月份,机器人产业链,矿产品,-0.3560529,-1.919,1.5629471000000001
2013年02月份,机器人产业链,矿产品,-0.90909091,-1.6254,0.71630909
2013年01月份,机器人产业链,矿产品,-2.00400802,-1.6372,-0.3668080200000001
2012年12月份,机器人产业链,矿产品,-3.91353807,-1.9397,-1.97383807
2012年11月份,机器人产业链,矿产品,-9.11089866,-2.1995,-6.91139866
2012年10月份,机器人产业链,矿产品,-15.62199744,-2.7558,-12.86619744
2012年09月份,机器人产业链,矿产品,-21.11692845,-3.5545,-17.56242845
2012年08月份,机器人产业链,矿产品,-19.87926829,-3.4784,-16.40086829
2012年07月份,机器人产业链,矿产品,-16.84303351,-2.8651,-13.977933510000002
2012年06月份,机器人产业链,矿产品,-15.45293073,-2.0843,-13.36863073
2012年05月份,机器人产业链,矿产品,-12.40185805,-1.3981,-11.00375805
2012年04月份,机器人产业链,矿产品,-12.91184328,-0.6984,-12.21344328
2012年03月份,机器人产业链,矿产品,-14.14847162,-0.3171,-13.83137162
2012年02月份,机器人产业链,矿产品,-13.91304348,0.0284,-13.94144348
2012年01月份,机器人产业链,矿产品,-11.44631766,0.7347,-12.18101766
2011年12月份,机器人产业链,矿产品,-12.01519651,1.6854,-13.70059651
2011年11月份,机器人产业链,矿产品,-7.26950355,2.7179,-9.98740355
2011年10月份,机器人产业链,矿产品,-0.525,5.0038,-5.5288
2011年09月份,机器人产业链,矿产品,2.87253142,6.5227,-3.6501685800000003
2011年08月份,机器人产业链,矿产品,3.23741007,7.2528,-4.0153899299999996
2011年07月份,机器人产业链,矿产品,-0.08810573,7.5417,-7.629805729999999
2011年06月份,机器人产业链,矿产品,-2.51082251,7.1209,-9.63172251
2011年05月份,机器人产业链,矿产品,-5.09666096,6.7851,-11.881760960000001
2011年04月份,机器人产业链,矿产品,-2.85467128,6.821,-9.67567128
2011年03月份,机器人产业链,矿产品,-0.77989601,7.3081,-8.08799601
2011年02月份,机器人产业链,矿产品,1.3751763,7.2322,-5.8570237
2011年01月份,机器人产业链,矿产品,-1.93177863,6.6436,-8.57537863
2010年12月份,机器人产业链,矿产品,0.58859703,5.93,-5.34140297
2010年11月份,机器人产业链,矿产品,4.32852386,6.06,-1.7314761399999998
2010年10月份,机器人产业链,矿产品,13.75770021,5.04,8.71770021
2010年09月份,机器人产业链,矿产品,24.90189483,4.33,20.571894829999998
2010年08月份,机器人产业链,矿产品,27.3768614,4.32,23.0568614
2010年07月份,机器人产业链,矿产品,34.79809976,4.84,29.95809976
2010年06月份,机器人产业链,矿产品,35.56338028,6.41,29.153380279999997
2010年05月份,机器人产业链,矿产品,37.25029377,7.13,30.12029377
2010年04月份,机器人产业链,矿产品,34.41860465,6.81,27.60860465
2010年03月份,机器人产业链,矿产品,35.82862524,5.91,29.91862524
2010年02月份,机器人产业链,矿产品,29.79405034,5.39,24.404050339999998
2010年01月份,机器人产业链,矿产品,30.53157656,4.32,26.21157656
2009年12月份,机器人产业链,矿产品,27.62641552,1.7,25.92641552
2009年11月份,机器人产业链,矿产品,15.48814356,-2.08,17.56814356
2009年10月份,机器人产业链,矿产品,-6.16570328,-5.85,-0.31570328000000014
2009年09月份,机器人产业链,矿产品,-20.58587837,-6.99,-13.59587837
2009年08月份,机器人产业链,矿产品,-24.41558442,-7.86,-16.55558442
2009年07月份,机器人产业链,矿产品,-28.82502113,-8.22,-20.605021129999997
2009年06月份,机器人产业链,矿产品,-26.99228792,-7.8,-19.19228792
2009年05月份,机器人产业链,矿产品,-27.60527435,-7.2,-20.40527435
2009年04月份,机器人产业链,矿产品,-29.57746479,-6.6,-22.97746479
2009年03月份,机器人产业链,矿产品,-31.22318465,-5.99,-25.23318465
2009年02月份,机器人产业链,矿产品,-27.60705707,-4.47,-23.13705707
2009年01月份,机器人产业链,矿产品,-26.3756481,-3.35,-23.025648099999998
2008年12月份,机器人产业链,矿产品,-23.96419437,-1.14,-22.82419437
2008年11月份,机器人产业链,矿产品,-19.63948498,1.99,-21.629484979999997
2008年10月份,机器人产业链,矿产品,-10.44003451,6.59,-17.03003451
2008年09月份,机器人产业链,矿产品,-2.67764298,9.13,-11.80764298
2008年08月份,机器人产业链,矿产品,0.43478261,10.06,-9.625217390000001
2008年07月份,机器人产业链,矿产品,2.86956522,10.03,-7.160434779999999
2008年06月份,机器人产业链,矿产品,1.12651646,8.84,-7.71348354
2008年05月份,机器人产业链,矿产品,1.95143105,8.22,-6.268568950000001
2008年04月份,机器人产业链,矿产品,8.45470693,8.12,0.3347069300000012
2008年03月份,机器人产业链,矿产品,11.38863841,7.95,3.4386384100000003
2008年02月份,机器人产业链,矿产品,8.66786679,6.62,2.0478667899999996
2008年01月份,机器人产业链,矿产品,4.34554974,6.07,-1.7244502600000002
2007年12月份,机器人产业链,矿产品,1.82291667,5.43,-3.60708333
2007年11月份,机器人产业链,矿产品,-0.76660988,4.55,-5.31660988
2007年10月份,机器人产业链,矿产品,-0.0862069,3.21,-3.2962069
2007年09月份,机器人产业链,矿产品,1.58450704,2.71,-1.1254929599999999
2007年08月份,机器人产业链,矿产品,1.95035461,2.56,-0.6096453900000001
2007年07月份,机器人产业链,矿产品,2.58697591,2.39,0.19697590999999992
2007年06月份,机器人产业链,矿产品,4.33996383,2.49,1.84996383
2007年05月份,机器人产业链,矿产品,5.90612657,2.76,3.14612657
2007年04月份,机器人产业链,矿产品,4.64684015,2.87,1.77684015
2007年03月份,机器人产业链,矿产品,2.74226422,2.65,0.09226422000000012
2007年02月份,机器人产业链,矿产品,1.95466642,2.6,-0.6453335800000002
2007年01月份,机器人产业链,矿产品,8.56384994,3.3,5.263849940000001
2006年12月份,机器人产业链,矿产品,9.05992616,3.05,6.00992616
2006年11月份,机器人产业链,矿产品,11.95880221,2.78,9.17880221
2006年10月份,机器人产业链,矿产品,9.00206728,2.9,6.10206728
2006年09月份,机器人产业链,矿产品,4.04836051,3.45,0.59836051
2006年08月份,机器人产业链,矿产品,1.76831469,3.4,-1.63168531
2006年07月份,机器人产业链,矿产品,1.00919085,3.58,-2.57080915
2006年06月份,机器人产业链,矿产品,-0.88717627,3.52,-4.40717627
2006年05月份,机器人产业链,矿产品,-1.26961095,2.43,-3.6996109500000003
2006年04月份,机器人产业链,矿产品,-1.68128655,1.87,-3.5512865500000004
2006年03月份,机器人产业链,矿产品,-2.1218716,2.49,-4.611871600000001
2006年02月份,机器人产业链,矿产品,-2.03182595,3.01,-5.04182595
2006年01月份,机器人产业链,矿产品,-8.8664422,3.05,-11.916442199999999
2026年06月份,生物医药产业链,矿产品,10.03898635,4.1,5.93898635
2026年05月份,生物医药产业链,矿产品,11.28404669,3.9,7.38404669
2026年04月份,生物医药产业链,矿产品,10.99426386,2.8,8.19426386
2026年03月份,生物医药产业链,矿产品,10.5513308,0.5,10.0513308
2026年02月份,生物医药产业链,矿产品,11.96911197,-0.9,12.86911197
2026年01月份,生物医药产业链,矿产品,16.03585657,-1.4,17.43585657
2025年12月份,生物医药产业链,矿产品,10.73891626,-1.9,12.63891626
2025年11月份,生物医药产业链,矿产品,8.203125,-2.2,10.403125
2025年10月份,生物医药产业链,矿产品,4.67557252,-2.1,6.775572520000001
2025年09月份,生物医药产业链,矿产品,6.18955513,-2.3,8.48955513
2025年08月份,生物医药产业链,矿产品,0.47348485,-2.9,3.37348485
2025年07月份,生物医药产业链,矿产品,-4.7309833,-3.6,-1.1309833
2025年06月份,生物医药产业链,矿产品,-5.52486188,-3.6,-1.9248618799999995
2025年05月份,生物医药产业链,矿产品,-5.34069982,-3.3,-2.0406998200000004
2025年04月份,生物医药产业链,矿产品,-0.75901328,-2.7,1.9409867200000002
2025年03月份,生物医药产业链,矿产品,0.19047619,-2.5,2.69047619
2025年02月份,生物医药产业链,矿产品,-3.35820896,-2.2,-1.1582089599999996
2025年01月份,生物医药产业链,矿产品,-9.46798918,-2.3,-7.16798918
2024年12月份,生物医药产业链,矿产品,-8.55855856,-2.3,-6.25855856
2024年11月份,生物医药产业链,矿产品,-6.99364214,-2.5,-4.49364214
2024年10月份,生物医药产业链,矿产品,-2.60223048,-2.9,0.2977695200000001
2024年09月份,生物医药产业链,矿产品,-3.63466915,-2.8,-0.8346691500000003
2024年08月份,生物医药产业链,矿产品,-1.58434296,-1.8,0.21565703999999997
2024年07月份,生物医药产业链,矿产品,3.05927342,-0.8,3.85927342
2024年06月份,生物医药产业链,矿产品,8.70870871,-0.8,9.50870871
2024年05月份,生物医药产业链,矿产品,9.47580645,-1.4,10.87580645
2024年04月份,生物医药产业链,矿产品,5.29470529,-2.5,7.79470529
2024年03月份,生物医药产业链,矿产品,3.24483776,-2.8,6.04483776
2024年02月份,生物医药产业链,矿产品,4.6875,-2.7,7.3875
2024年01月份,生物医药产业链,矿产品,8.83218842,-2.5,11.33218842
2023年12月份,生物医药产业链,矿产品,8.1871345,-2.7,10.887134500000002
2023年11月份,生物医药产业链,矿产品,9.3346574,-3.0,12.3346574
2023年10月份,生物医药产业链,矿产品,9.68399592,-2.6,12.283995919999999
2023年09月份,生物医药产业链,矿产品,12.00417537,-2.5,14.50417537
2023年08月份,生物医药产业链,矿产品,15.625,-3.0,18.625
2023年07月份,生物医药产业链,矿产品,12.23175966,-4.4,16.63175966
2023年06月份,生物医药产业链,矿产品,1.83486239,-5.4,7.23486239
2023年05月份,生物医药产业链,矿产品,-1.68483647,-4.6,2.9151635299999996
2023年04月份,生物医药产业链,矿产品,-4.75737393,-3.6,-1.1573739299999999
2023年03月份,生物医药产业链,矿产品,-2.21153846,-2.5,0.2884615400000001
2023年02月份,生物医药产业链,矿产品,-0.7751938,-1.4,0.6248061999999999
2023年01月份,生物医药产业链,矿产品,-1.45067698,-0.8,-0.6506769799999998
2022年12月份,生物医药产业链,矿产品,-1.53550864,-0.7,-0.83550864
2022年11月份,生物医药产业链,矿产品,-6.58627087,-1.3,-5.28627087
2022年10月份,生物医药产业链,矿产品,-11.93895871,-1.3,-10.638958709999999
2022年09月份,生物医药产业链,矿产品,-16.25874126,0.9,-17.15874126
2022年08月份,生物医药产业链,矿产品,-20.20636285,2.3,-22.506362850000002
2022年07月份,生物医药产业链,矿产品,-22.97520661,4.2,-27.17520661
2022年06月份,生物医药产业链,矿产品,-19.25925926,6.1,-25.35925926
2022年05月份,生物医药产业链,矿产品,-16.61157025,6.4,-23.01157025
2022年04月份,生物医药产业链,矿产品,-10.4770017,8.0,-18.477001700000002
2022年03月份,生物医药产业链,矿产品,-9.72222222,8.3,-18.022222220000003
2022年02月份,生物医药产业链,矿产品,-9.39420544,8.8,-18.19420544
2022年01月份,生物医药产业链,矿产品,-6.59439928,9.1,-15.694399279999999
2021年12月份,生物医药产业链,矿产品,-4.13983441,10.3,-14.43983441
2021年11月份,生物医药产业链,矿产品,1.31578947,12.9,-11.58421053
2021年10月份,生物医药产业链,矿产品,5.79297246,13.5,-7.70702754
2021年09月份,生物医药产业链,矿产品,10.31822565,10.7,-0.3817743499999988
2021年08月份,生物医药产业链,矿产品,12.36714976,9.5,2.86714976
2021年07月份,生物医药产业链,矿产品,18.86051081,9.0,9.860510810000001
2021年06月份,生物医药产业链,矿产品,19.11764706,8.8,10.317647059999999
2021年05月份,生物医药产业链,矿产品,18.97738446,9.0,9.97738446
2021年04月份,生物医药产业链,矿产品,14.76050831,6.8,7.960508310000001
2021年03月份,生物医药产业链,矿产品,10.66282421,4.4,6.26282421
2021年02月份,生物医药产业链,矿产品,8.47619048,1.7,6.7761904799999995
2021年01月份,生物医药产业链,矿产品,3.55472404,0.3,3.25472404
2020年12月份,生物医药产业链,矿产品,1.68381665,-0.4,2.08381665
2020年11月份,生物医药产业链,矿产品,0.56710775,-1.5,2.06710775
2020年10月份,生物医药产业链,矿产品,-1.95530726,-2.1,0.14469274
2020年09月份,生物医药产业链,矿产品,-4.6875,-2.1,-2.5875
2020年08月份,生物医药产业链,矿产品,-7.7540107,-2.0,-5.7540107
2020年07月份,生物医药产业链,矿产品,-11.2467306,-2.4,-8.846730599999999
2020年06月份,生物医药产业链,矿产品,-9.09090909,-3.0,-6.09090909
2020年05月份,生物医药产业链,矿产品,-7.88043478,-3.7,-4.18043478
2020年04月份,生物医药产业链,矿产品,-6.23281393,-3.1,-3.1328139299999997
2020年03月份,生物医药产业链,矿产品,-2.43673852,-1.5,-0.93673852
2020年02月份,生物医药产业链,矿产品,-0.56818182,-0.4,-0.16818181999999993
2020年01月份,生物医药产业链,矿产品,2.10124164,0.1,2.00124164
2019年12月份,生物医药产业链,矿产品,1.42314991,-0.5,1.92314991
2019年11月份,生物医药产业链,矿产品,-1.39794967,-1.4,0.002050329999999878
2019年10月份,生物医药产业链,矿产品,0.93984962,-1.6,2.53984962
2019年09月份,生物医药产业链,矿产品,3.12796209,-1.2,4.32796209
2019年08月份,生物医药产业链,矿产品,8.4057971,-0.8,9.2057971
2019年07月份,生物医药产业链,矿产品,10.28846154,-0.3,10.58846154
2019年06月份,生物医药产业链,矿产品,6.95900858,0.0,6.95900858
2019年05月份,生物医药产业链,矿产品,5.95009597,0.6,5.35009597
2019年04月份,生物医药产业链,矿产品,6.64711632,0.9,5.74711632
2019年03月份,生物医药产业链,矿产品,5.01968504,0.4,4.619685039999999
2019年02月份,生物医药产业链,矿产品,1.63618864,0.1,1.53618864
2019年01月份,生物医药产业链,矿产品,-0.85227273,0.1,-0.95227273
2018年12月份,生物医药产业链,矿产品,-0.18939394,0.9,-1.0893939400000001
2018年11月份,生物医药产业链,矿产品,-0.27881041,2.7,-2.9788104100000004
2018年10月份,生物医药产业链,矿产品,-4.31654676,3.3,-7.616546759999999
2018年09月份,生物医药产业链,矿产品,-5.63506261,3.6,-9.23506261
2018年08月份,生物医药产业链,矿产品,-7.42397138,4.1,-11.523971379999999
2018年07月份,生物医药产业链,矿产品,-4.84903934,4.6,-9.449039339999999
2018年06月份,生物医药产业链,矿产品,-4.80943739,4.7,-9.50943739
2018年05月份,生物医药产业链,矿产品,-5.4446461,4.1,-9.5446461
2018年04月份,生物医药产业链,矿产品,-8.82352941,3.4,-12.223529410000001
2018年03月份,生物医药产业链,矿产品,-12.26252159,3.1,-15.36252159
2018年02月份,生物医药产业链,矿产品,-11.27241674,3.7,-14.97241674
2018年01月份,生物医药产业链,矿产品,-8.33333333,4.3,-12.63333333
2017年12月份,生物医药产业链,矿产品,-5.96616207,4.9,-10.866162070000001
2017年11月份,生物医药产业链,矿产品,0.27958993,5.8,-5.52041007
2017年10月份,生物医药产业链,矿产品,8.80626223,6.9,1.9062622299999994
2017年09月份,生物医药产业链,矿产品,10.14778325,6.9,3.2477832499999995
2017年08月份,生物医药产业链,矿产品,12.00160289,6.3,5.701602889999999
2017年07月份,生物医药产业链,矿产品,12.12556422,5.5,6.625564219999999
2017年06月份,生物医药产业链,矿产品,16.36747624,5.5,10.867476239999998
2017年05月份,生物医药产业链,矿产品,16.0,5.5,10.5
2017年04月份,生物医药产业链,矿产品,17.48691099,6.4,11.086910989999998
2017年03月份,生物医药产业链,矿产品,23.98286938,7.6,16.382869380000002
2017年02月份,生物医药产业链,矿产品,30.54626533,7.8,22.74626533
2017年01月份,生物医药产业链,矿产品,30.6122449,6.9,23.7122449
2016年12月份,生物医药产业链,矿产品,28.19634703,5.5,22.69634703
2016年11月份,生物医药产业链,矿产品,21.79341657,3.3,18.49341657
2016年10月份,生物医药产业链,矿产品,15.09009009,1.2,13.890090090000001
2016年09月份,生物医药产业链,矿产品,15.07936508,0.1,14.97936508
2016年08月份,生物医药产业链,矿产品,14.21052632,-0.8,15.01052632
2016年07月份,生物医药产业链,矿产品,11.27853881,-1.7,12.97853881
2016年06月份,生物医药产业链,矿产品,6.64414414,-2.6,9.24414414
2016年05月份,生物医药产业链,矿产品,7.46606335,-2.8,10.26606335
2016年04月份,生物医药产业链,矿产品,9.39289805,-3.4,12.79289805
2016年03月份,生物医药产业链,矿产品,6.74285714,-4.3,11.042857139999999
2016年02月份,生物医药产业链,矿产品,2.63157895,-4.9,7.53157895
2016年01月份,生物医药产业链,矿产品,-0.33898305,-5.3,4.961016949999999
2015年12月份,生物医药产业链,矿产品,-2.99003322,-5.9,2.9099667800000004
2015年11月份,生物医药产业链,矿产品,-3.08030803,-5.9,2.8196919700000005
2015年10月份,生物医药产业链,矿产品,-3.05676856,-5.9,2.8432314400000003
2015年09月份,生物医药产业链,矿产品,-4.51445274,-5.945,1.43054726
2015年08月份,生物医药产业链,矿产品,-8.0,-5.9227,-2.0773
2015年07月份,生物医药产业链,矿产品,-9.96916752,-5.3692,-4.599967519999999
2015年06月份,生物医药产业链,矿产品,-7.97927461,-4.8135,-3.1657746099999997
2015年05月份,生物医药产业链,矿产品,-8.01248699,-4.607,-3.405486989999999
2015年04月份,生物医药产业链,矿产品,-8.49056604,-4.5725,-3.9180660399999994
2015年03月份,生物医药产业链,矿产品,-7.49550692,-4.5603,-2.9352069200000006
2015年02月份,生物医药产业链,矿产品,-8.76826722,-4.7976,-3.97066722
