报告日期,指数值,PMI分项
2013年08月份,51.0,制造业-指数
2013年07月份,50.3,制造业-指数
2013年06月份,50.1,制造业-指数
2013年05月份,50.8,制造业-指数
2013年04月份,50.6,制造业-指数
2013年03月份,50.9,制造业-指数
2013年02月份,50.1,制造业-指数
2013年01月份,50.4,制造业-指数
2012年12月份,50.6,制造业-指数
2012年11月份,50.6,制造业-指数
2012年10月份,50.2,制造业-指数
2012年09月份,49.8,制造业-指数
2012年08月份,49.2,制造业-指数
2012年07月份,50.1,制造业-指数
2012年06月份,50.2,制造业-指数
2012年05月份,50.4,制造业-指数
2012年04月份,53.3,制造业-指数
2012年03月份,53.1,制造业-指数
2012年02月份,51.0,制造业-指数
2012年01月份,50.5,制造业-指数
2011年12月份,50.3,制造业-指数
2011年11月份,49.0,制造业-指数
2011年10月份,50.4,制造业-指数
2011年09月份,51.2,制造业-指数
2011年08月份,50.9,制造业-指数
2011年07月份,50.7,制造业-指数
2011年06月份,50.9,制造业-指数
2011年05月份,52.0,制造业-指数
2011年04月份,52.9,制造业-指数
2011年03月份,53.4,制造业-指数
2011年02月份,52.2,制造业-指数
2011年01月份,52.9,制造业-指数
2010年12月份,53.9,制造业-指数
2010年11月份,55.2,制造业-指数
2010年10月份,54.7,制造业-指数
2010年09月份,53.8,制造业-指数
2010年08月份,51.7,制造业-指数
2010年07月份,51.2,制造业-指数
2010年06月份,52.1,制造业-指数
2010年05月份,53.9,制造业-指数
2010年04月份,55.7,制造业-指数
2010年03月份,55.1,制造业-指数
2010年02月份,52.0,制造业-指数
2010年01月份,55.8,制造业-指数
2009年12月份,56.6,制造业-指数
2009年11月份,55.2,制造业-指数
2009年10月份,55.2,制造业-指数
2009年09月份,54.3,制造业-指数
2009年08月份,54.0,制造业-指数
2009年07月份,53.3,制造业-指数
2009年06月份,53.2,制造业-指数
2009年05月份,53.1,制造业-指数
2009年04月份,53.5,制造业-指数
2009年03月份,52.4,制造业-指数
2009年02月份,49.0,制造业-指数
2009年01月份,45.3,制造业-指数
2008年12月份,41.2,制造业-指数
2008年11月份,38.8,制造业-指数
2008年10月份,44.6,制造业-指数
2008年09月份,51.2,制造业-指数
2008年08月份,48.4,制造业-指数
2008年07月份,48.4,制造业-指数
2008年06月份,52.0,制造业-指数
2008年05月份,53.3,制造业-指数
2008年04月份,59.2,制造业-指数
2008年03月份,58.4,制造业-指数
2008年02月份,53.4,制造业-指数
2008年01月份,53.0,制造业-指数
2026年06月份,1.20724346,制造业-同比增长
2026年05月份,1.01010101,制造业-同比增长
2026年04月份,2.65306122,制造业-同比增长
2026年03月份,-0.1980198,制造业-同比增长
2026年02月份,-2.39043825,制造业-同比增长
2026年01月份,0.40733198,制造业-同比增长
2025年12月份,0.0,制造业-同比增长
2025年11月份,-2.18687873,制造业-同比增长
2025年10月份,-2.19560878,制造业-同比增长
2025年09月份,0.0,制造业-同比增长
2025年08月份,0.61099796,制造业-同比增长
2025年07月份,-0.20242915,制造业-同比增长
2025年06月份,0.4040404,制造业-同比增长
2025年05月份,0.0,制造业-同比增长
2025年04月份,-2.77777778,制造业-同比增长
2025年03月份,-0.59055118,制造业-同比增长
2025年02月份,2.24032587,制造业-同比增长
2025年01月份,-0.20325203,制造业-同比增长
2024年12月份,2.24489796,制造业-同比增长
2024年11月份,1.82186235,制造业-同比增长
2024年10月份,1.21212121,制造业-同比增长
2024年09月份,-0.79681275,制造业-同比增长
2024年08月份,-1.20724346,制造业-同比增长
2024年07月份,0.20283976,制造业-同比增长
2024年06月份,1.02040816,制造业-同比增长
2024年05月份,1.43442623,制造业-同比增长
2024年04月份,2.43902439,制造业-同比增长
2024年03月份,-2.1194605,制造业-同比增长
2024年02月份,-6.6539924,制造业-同比增长
2024年01月份,-1.79640719,制造业-同比增长
2023年12月份,4.25531915,制造业-同比增长
2023年11月份,2.91666667,制造业-同比增长
2023年10月份,0.6097561,制造业-同比增长
2023年09月份,0.1996008,制造业-同比增长
2023年08月份,0.60728745,制造业-同比增长
2023年07月份,0.6122449,制造业-同比增长
2023年06月份,-2.39043825,制造业-同比增长
2023年05月份,-1.61290323,制造业-同比增长
2023年04月份,3.79746835,制造业-同比增长
2023年03月份,4.84848485,制造业-同比增长
2023年02月份,4.78087649,制造业-同比增长
2023年01月份,0.0,制造业-同比增长
2022年12月份,-6.56063618,制造业-同比增长
2022年11月份,-4.19161677,制造业-同比增长
2022年10月份,0.0,制造业-同比增长
2022年09月份,1.00806452,制造业-同比增长
2022年08月份,-1.39720559,制造业-同比增长
2022年07月份,-2.77777778,制造业-同比增长
2022年06月份,-1.37524558,制造业-同比增长
2022年05月份,-2.74509804,制造业-同比增长
2022年04月份,-7.2407045,制造业-同比增长
2022年03月份,-4.62427746,制造业-同比增长
2022年02月份,-0.79051383,制造业-同比增长
2022年01月份,-2.33918129,制造业-同比增长
2021年12月份,-3.08285164,制造业-同比增长
2021年11月份,-3.83877159,制造业-同比增长
2021年10月份,-4.28015564,制造业-同比增长
2021年09月份,-3.68932039,制造业-同比增长
2021年08月份,-1.76470588,制造业-同比增长
2021年07月份,-1.36986301,制造业-同比增长
2021年06月份,0.0,制造业-同比增长
2021年05月份,0.79051383,制造业-同比增长
2021年04月份,0.59055118,制造业-同比增长
2021年03月份,-0.19230769,制造业-同比增长
2021年02月份,41.73669468,制造业-同比增长
2021年01月份,2.6,制造业-同比增长
2020年12月份,3.38645418,制造业-同比增长
2020年11月份,3.78486056,制造业-同比增长
2020年10月份,4.25963489,制造业-同比增长
2020年09月份,3.41365462,制造业-同比增长
2020年08月份,3.03030303,制造业-同比增长
2020年07月份,2.81690141,制造业-同比增长
2020年06月份,3.03643725,制造业-同比增长
2020年05月份,2.4291498,制造业-同比增长
2020年04月份,1.39720559,制造业-同比增长
2020年03月份,2.97029703,制造业-同比增长
2020年02月份,-27.43902439,制造业-同比增长
2020年01月份,1.01010101,制造业-同比增长
2019年12月份,1.6194332,制造业-同比增长
2019年11月份,0.4,制造业-同比增长
2019年10月份,-1.79282869,制造业-同比增长
2019年09月份,-1.96850394,制造业-同比增长
2019年08月份,-3.50877193,制造业-同比增长
2019年07月份,-2.9296875,制造业-同比增长
2019年06月份,-4.0776699,制造业-同比增长
2019年05月份,-4.81695568,制造业-同比增长
2019年04月份,-2.52918288,制造业-同比增长
