报告日期,指数值,PMI分项
2023年12月份,21.15384615,非制造业-同比增长
2023年11月份,7.49464668,非制造业-同比增长
2023年10月份,3.90143737,非制造业-同比增长
2023年09月份,2.17391304,非制造业-同比增长
2023年08月份,-3.0418251,非制造业-同比增长
2023年07月份,-4.27509294,非制造业-同比增长
2023年06月份,-2.74223035,非制造业-同比增长
2023年05月份,14.0167364,非制造业-同比增长
2023年04月份,34.60620525,非制造业-同比增长
2023年03月份,20.24793388,非制造业-同比增长
2023年02月份,9.10852713,非制造业-同比增长
2023年01月份,6.45792564,非制造业-同比增长
2022年12月份,-21.0626186,非制造业-同比增长
2022年11月份,-10.70745698,非制造业-同比增长
2022年10月份,-7.0610687,非制造业-同比增长
2022年09月份,-4.88721805,非制造业-同比增长
2022年08月份,10.73684211,非制造业-同比增长
2022年07月份,0.9380863,非制造业-同比增长
2022年06月份,2.24299065,非制造业-同比增长
2022年05月份,-13.4057971,非制造业-同比增长
2022年04月份,-23.67941712,非制造业-同比增长
2022年03月份,-14.03197158,非制造业-同比增长
2022年02月份,0.38910506,非制造业-同比增长
2022年01月份,-2.48091603,非制造业-同比增长
2021年12月份,-5.38599641,非制造业-同比增长
2021年11月份,-7.26950355,非制造业-同比增长
2021年10月份,-6.76156584,非制造业-同比增长
2021年09月份,-4.83005367,非制造业-同比增长
2021年08月份,-13.94927536,非制造业-同比增长
2021年07月份,-1.66051661,非制造业-同比增长
2021年06月份,-1.65441176,非制造业-同比增长
2021年05月份,2.98507463,非制造业-同比增长
2021年04月份,3.19548872,非制造业-同比增长
2021年03月份,7.64818356,非制造业-同比增长
2021年02月份,73.64864865,非制造业-同比增长
2021年01月份,-3.14232902,非制造业-同比增长
2020年12月份,4.11214953,非制造业-同比增长
2020年11月份,3.67647059,非制造业-同比增长
2020年10月份,6.43939394,非制造业-同比增长
2020年09月份,4.09683426,非制造业-同比增长
2020年08月份,2.60223048,非制造业-同比增长
2020年07月份,0.9310987,非制造业-同比增长
2020年06月份,0.36900369,非制造业-同比增长
2020年05月份,-1.28913444,非制造业-同比增长
2020年04月份,-2.02578269,非制造业-同比增长
2020年03月份,-4.5620438,非制造业-同比增长
2020年02月份,-45.48802947,非制造业-同比增长
2020年01月份,-1.09689214,非制造业-同比增长
2019年12月份,-0.55762082,非制造业-同比增长
2019年11月份,1.87265918,非制造业-同比增长
2019年10月份,-2.04081633,非制造业-同比增长
2019年09月份,-2.18579235,非制造业-同比增长
2019年08月份,-0.73800738,非制造业-同比增长
2019年07月份,-0.55555556,非制造业-同比增长
2019年06月份,-1.45454545,非制造业-同比增长
2019年05月份,-1.09289617,非制造业-同比增长
2019年04月份,-0.91240876,非制造业-同比增长
2019年03月份,0.36630037,非制造业-同比增长
2019年02月份,-0.18382353,非制造业-同比增长
2019年01月份,-1.08499096,非制造业-同比增长
2018年12月份,-2.18181818,非制造业-同比增长
2018年11月份,-2.55474453,非制造业-同比增长
2018年10月份,-0.73664825,非制造业-同比增长
2018年09月份,-0.90252708,非制造业-同比增长
2018年08月份,1.49812734,非制造业-同比增长
2018年07月份,-0.91743119,非制造业-同比增长
2018年06月份,0.18214936,非制造业-同比增长
2018年05月份,0.73394495,非制造业-同比增长
2018年04月份,1.48148148,非制造业-同比增长
2018年03月份,-0.90744102,非制造业-同比增长
2018年02月份,0.36900369,非制造业-同比增长
2018年01月份,1.28205128,非制造业-同比增长
2017年12月份,0.91743119,非制造业-同比增长
2017年11月份,0.18281536,非制造业-同比增长
2017年10月份,0.55555556,非制造业-同比增长
2017年09月份,3.16573557,非制造业-同比增长
2017年08月份,-0.18691589,非制造业-同比增长
2017年07月份,1.11317254,非制造业-同比增长
2017年06月份,2.23463687,非制造业-同比增长
2017年05月份,2.63653484,非制造业-同比增长
2017年04月份,0.93457944,非制造业-同比增长
2017年03月份,2.41635688,非制造业-同比增长
2017年02月份,2.84629981,非制造业-同比增长
2017年01月份,2.05607477,非制造业-同比增长
2016年12月份,0.18382353,非制造业-同比增长
2016年11月份,2.05223881,非制造业-同比增长
2016年10月份,1.69491525,非制造业-同比增长
2016年09月份,0.56179775,非制造业-同比增长
2016年08月份,0.18726592,非制造业-同比增长
2016年07月份,0.0,非制造业-同比增长
2016年06月份,-0.18587361,非制造业-同比增长
2016年05月份,-0.18796992,非制造业-同比增长
2016年04月份,0.18726592,非制造业-同比增长
2016年03月份,0.18621974,非制造业-同比增长
2016年02月份,-2.22634508,非制造业-同比增长
2016年01月份,-0.37243948,非制造业-同比增长
2015年12月份,0.55452865,非制造业-同比增长
2015年11月份,-0.55658627,非制造业-同比增长
2015年10月份,-1.30111524,非制造业-同比增长
2015年09月份,-1.11111111,非制造业-同比增长
2015年08月份,-1.83823529,非制造业-同比增长
2015年07月份,-0.55350554,非制造业-同比增长
2015年06月份,-2.18181818,非制造业-同比增长
2015年05月份,-4.14414414,非制造业-同比增长
2015年04月份,-2.55474453,非制造业-同比增长
2015年03月份,-1.46788991,非制造业-同比增长
2015年02月份,-2.0,非制造业-同比增长
2015年01月份,0.56179775,非制造业-同比增长
2014年12月份,-0.91575092,非制造业-同比增长
2014年11月份,-3.75,非制造业-同比增长
2014年10月份,-4.44049734,非制造业-同比增长
2014年09月份,-2.52707581,非制造业-同比增长
2014年08月份,0.92764378,非制造业-同比增长
2014年07月份,0.18484288,非制造业-同比增长
2014年06月份,2.04081633,非制造业-同比增长
2014年05月份,2.20994475,非制造业-同比增长
2014年04月份,0.55045872,非制造业-同比增长
2014年03月份,-1.97841727,非制造业-同比增长
2014年02月份,0.91743119,非制造业-同比增长
2014年01月份,-4.98220641,非制造业-同比增长
2013年12月份,-2.67379679,非制造业-同比增长
2013年11月份,0.71942446,非制造业-同比增长
2013年10月份,1.44144144,非制造业-同比增长
2013年09月份,3.16573557,非制造业-同比增长
2013年08月份,-4.26287744,非制造业-同比增长
2013年07月份,-2.69784173,非制造业-同比增长
2013年06月份,-4.9382716,非制造业-同比增长
2013年05月份,-1.63043478,非制造业-同比增长
2013年04月份,-2.85204991,非制造业-同比增长
2013年03月份,-4.13793103,非制造业-同比增长
2013年02月份,-4.88656195,非制造业-同比增长
2013年01月份,0.89766607,非制造业-同比增长
2012年12月份,-0.35523979,非制造业-同比增长
2012年11月份,-0.53667263,非制造业-同比增长
2012年10月份,0.0,非制造业-同比增长
2012年09月份,-3.76344086,非制造业-同比增长
2012年08月份,-1.40105079,非制造业-同比增长
2012年07月份,-2.96684119,非制造业-同比增长
2012年06月份,0.17667845,非制造业-同比增长
2012年05月份,-5.96252129,非制造业-同比增长
2012年04月份,-3.60824742,非制造业-同比增长
2012年03月份,-2.02702703,非制造业-同比增长
2012年02月份,0.52631579,非制造业-同比增长
2012年01月份,-2.62237762,非制造业-同比增长
2011年12月份,-4.25170068,非制造业-同比增长
2011年11月份,-5.09337861,非制造业-同比增长
2011年10月份,-3.31010453,非制造业-同比增长
2011年09月份,-3.62694301,非制造业-同比增长
2011年08月份,-1.55172414,非制造业-同比增长
2011年07月份,0.3502627,非制造业-同比增长
2011年06月份,-3.7414966,非制造业-同比增长
2011年05月份,1.03270224,非制造业-同比增长
2011年04月份,0.69204152,非制造业-同比增长
2011年03月份,3.31588133,非制造业-同比增长
2011年02月份,0.0,非制造业-同比增长
2011年01月份,-1.54905336,非制造业-同比增长
2010年12月份,0.0,非制造业-同比增长
2010年11月份,0.85616438,非制造业-同比增长
2010年10月份,-3.52941176,非制造业-同比增长
2010年09月份,0.0,非制造业-同比增长
2010年08月份,1.22164049,非制造业-同比增长
2010年07月份,-0.34904014,非制造业-同比增长
2010年06月份,6.13718412,非制造业-同比增长
2010年05月份,5.8287796,非制造业-同比增长
2010年04月份,8.03738318,非制造业-同比增长
2010年03月份,5.33088235,非制造业-同比增长
2010年02月份,3.44827586,非制造业-同比增长
2010年01月份,8.19366853,非制造业-同比增长
2009年12月份,15.7480315,非制造业-同比增长
2009年11月份,14.0625,非制造业-同比增长
2009年10月份,12.0527307,非制造业-同比增长
2009年09月份,5.27272727,非制造业-同比增长
2009年08月份,8.31758034,非制造业-同比增长
2009年07月份,2.87253142,非制造业-同比增长
2009年06月份,-3.48432056,非制造业-同比增长
2009年05月份,-4.3554007,非制造业-同比增长
2009年04月份,-8.39041096,非制造业-同比增长
2009年03月份,-7.64006791,非制造业-同比增长
2009年02月份,-7.08263069,非制造业-同比增长
2009年01月份,-10.79734219,非制造业-同比增长
2008年12月份,-15.61461794,非制造业-同比增长
2008年11月份,-15.51155116,非制造业-同比增长
2008年10月份,-13.51791531,非制造业-同比增长
2008年09月份,-11.14701131,非制造业-同比增长
2008年08月份,-14.26256078,非制造业-同比增长
2008年07月份,-6.22895623,非制造业-同比增长
2008年06月份,-4.33333333,非制造业-同比增长
2008年05月份,-7.7170418,非制造业-同比增长
2008年04月份,-3.31125828,非制造业-同比增长
2008年03月份,1.20274914,非制造业-同比增长
2008年02月份,-2.14521452,非制造业-同比增长
2008年01月份,-0.33112583,非制造业-同比增长
